network,round,training_accuracy,test_accuracy
0,0,0.2688,0.2765
1,0,0.2327,0.2388
2,0,0.2537,0.2536
3,0,0.2358,0.255
4,0,0.2341,0.232
4,1,0.3683,0.3286
0,1,0.4149,0.4274
1,1,0.4269,0.4412
2,1,0.4178,0.4022
3,1,0.3633,0.3576
4,2,0.4494,0.4083
0,2,0.5135,0.5196
1,2,0.5168,0.5333
2,2,0.4872,0.4535
3,2,0.472,0.3887
4,3,0.4841,0.3915
0,3,0.6337,0.6164
1,3,0.6306,0.603
2,3,0.5591,0.474
3,3,0.5019,0.4819
4,4,0.5198,0.3951
0,4,0.6408,0.6115
1,4,0.6494,0.6315
2,4,0.6145,0.5229
3,4,0.5494,0.4318
4,5,0.5388,0.4663
0,5,0.7297,0.6853
1,5,0.7017,0.6595
2,5,0.6216,0.588
3,5,0.5816,0.5081
4,6,0.5588,0.5011
0,6,0.7821,0.7082
1,6,0.7529,0.6789
2,6,0.6701,0.5992
3,6,0.6072,0.5579
4,7,0.5686,0.4836
0,7,0.7832,0.7148
1,7,0.7693,0.6947
2,7,0.6775,0.6381
3,7,0.6335,0.5482
4,8,0.5942,0.5018
0,8,0.8306,0.7313
1,8,0.7795,0.681
2,8,0.7102,0.5999
3,8,0.6437,0.5338
4,9,0.6006,0.521
0,9,0.85,0.7459
1,9,0.8131,0.7123
2,9,0.7345,0.5945
3,9,0.6748,0.5744
