network,round,normal_pre_training_train_acc,normal_pre_training_test_acc,normal_training_train_acc,normal_training_test_acc,adversarial_pre_training_train_acc,adversarial_pre_training_test_acc,adversarial_training_train_acc,adversarial_training_test_acc
0,10000,0.0,0.0,0.6005,0.5821,,,,
1,10000,0.0,0.0,0.5422,0.5172,,,,
2,10000,0.0,0.0,0.4512,0.3753,,,,
3,10000,0.0,0.0,0.4366,0.3647,,,,
4,10000,0.0,0.0,0.3688,0.2835,,,,
0,10000,0.099,0.1025,0.5805,0.5671,,,,
1,10000,0.1099,0.1025,0.6113,0.5696,,,,
2,10000,0.114,0.1025,0.5266,0.3848,,,,
3,10000,0.1285,0.1025,0.477,0.3345,,,,
4,10000,0.1126,0.1025,0.4673,0.3427,,,,
0,10000,0.3574,0.3811,0.672,0.6531,,,,
1,10000,0.3839,0.3811,0.6123,0.6209,,,,
2,10000,0.4441,0.3811,0.5722,0.4824,,,,
3,10000,0.4163,0.3811,0.5185,0.4169,,,,
4,10000,0.3067,0.3811,0.4914,0.3867,,,,
0,10000,0.4926,0.5121,0.7552,0.7176,,,,
1,10000,0.5263,0.5121,0.702,0.6121,,,,
2,10000,0.5842,0.5121,0.6117,0.5097,,,,
3,10000,0.4168,0.5121,0.5521,0.4388,,,,
4,10000,0.2763,0.5121,0.5265,0.4372,,,,
0,10000,0.5223,0.5426,0.7936,0.7274,,,,
1,10000,0.5601,0.5426,0.7163,0.6287,,,,
2,10000,0.6206,0.5426,0.6472,0.5695,,,,
3,10000,0.4696,0.5426,0.5268,0.4353,,,,
4,10000,0.3199,0.5426,0.5317,0.4421,,,,
0,10000,0.5662,0.5859,0.8073,0.7415,,,,
1,10000,0.6058,0.5859,0.7776,0.6753,,,,
2,10000,0.6588,0.5859,0.659,0.6249,,,,
3,10000,0.4518,0.5859,0.6174,0.477,,,,
4,10000,0.2962,0.5859,0.5515,0.4374,,,,
0,10000,0.6044,0.6179,0.8186,0.7533,,,,
1,10000,0.6396,0.6179,0.758,0.6694,,,,
2,10000,0.6798,0.6179,0.6716,0.5705,,,,
3,10000,0.4914,0.6179,0.6048,0.4538,,,,
4,10000,0.3008,0.6179,0.5546,0.4482,,,,
0,10000,0.6029,0.6166,0.8491,0.779,,,,
1,10000,0.6473,0.6166,0.7759,0.7031,,,,
2,10000,0.6783,0.6166,0.7013,0.5848,,,,
3,10000,0.4803,0.6166,0.6197,0.4931,,,,
4,10000,0.2722,0.6166,0.5458,0.5188,,,,
0,10000,0.627,0.6394,0.8531,0.7713,,,,
1,10000,0.6623,0.6394,0.7792,0.658,,,,
2,10000,0.691,0.6394,0.7167,0.5555,,,,
3,10000,0.5017,0.6394,0.6298,0.5042,,,,
4,10000,0.2793,0.6394,0.5988,0.4644,,,,
0,10000,0.6114,0.6162,0.8405,0.7685,,,,
1,10000,0.6612,0.6162,0.813,0.7148,,,,
2,10000,0.7169,0.6162,0.709,0.6077,,,,
3,10000,0.5041,0.6162,0.6587,0.5342,,,,
4,10000,0.2771,0.6162,0.587,0.4419,,,,
