network,round,normal_pre_training_train_acc,normal_pre_training_test_acc,normal_training_train_acc,normal_training_test_acc,adversarial_pre_training_train_acc,adversarial_pre_training_test_acc,adversarial_training_train_acc,adversarial_training_test_acc,,
0,0,0,0,0.7068,0.6723,0.4549,0.4734,0.6381,0.6346,,
1,0,0,0,0.6476,0.5992,0.4498,0.4558,0.6356,0.5639,,
2,0,0,0,0.546,0.4795,0.425,0.3549,0.5483,0.4036,,
3,0,0,0,0.4918,0.3818,0.4061,0.2537,0.5087,0.3862,,
4,0,0,0,0.4612,0.3938,0.3789,0.2074,0.4831,0.2937,,
0,1,0.3685,0.3916,0.7732,0.7271,0.6844,0.6866,0.671,0.6515,,
1,1,0.4045,0.3916,0.6923,0.6178,0.6818,0.6617,0.7304,0.6355,,
2,1,0.5047,0.3916,0.6236,0.4963,0.6239,0.53,0.6365,0.5435,,
3,1,0.3892,0.3916,0.561,0.4869,0.5684,0.3998,0.5775,0.4637,,
4,1,0.255,0.3916,0.5263,0.387,0.499,0.2831,0.534,0.4503,,
0,2,0.5286,0.5513,0.7971,0.7353,0.7453,0.7392,0.8057,0.7583,,
1,2,0.5585,0.5513,0.76,0.6723,0.728,0.7105,0.7489,0.7023,,
2,2,0.6201,0.5513,0.6741,0.5985,0.6786,0.5964,0.6737,0.5834,,
3,2,0.4539,0.5513,0.595,0.4887,0.6052,0.4537,0.6205,0.4947,,
4,2,0.262,0.5513,0.5602,0.4672,0.5233,0.3367,0.56,0.4584,,
0,3,0.5672,0.5847,0.8132,0.7411,0.7714,0.7611,0.8611,0.7972,,
1,3,0.6073,0.5847,0.7839,0.6843,0.7564,0.7326,0.801,0.6976,,
2,3,0.6712,0.5847,0.7011,0.5852,0.704,0.6321,0.7137,0.6164,,
3,3,0.4193,0.5847,0.6274,0.523,0.6251,0.4974,0.65,0.5452,,
4,3,0.2189,0.5847,0.5781,0.4753,0.5411,0.3693,0.5871,0.4964,,
0,4,0.5993,0.6163,0.8864,0.7993,0.7925,0.7774,0.8621,0.8026,,
1,4,0.6329,0.6163,0.7996,0.7175,0.7855,0.7473,0.8173,0.7102,,
2,4,0.6891,0.6163,0.731,0.6096,0.7287,0.646,0.7306,0.6355,,
3,4,0.4842,0.6163,0.6387,0.5458,0.6464,0.5228,0.6651,0.5654,,
4,4,0.2558,0.6163,0.5703,0.501,0.5577,0.3991,0.5904,0.4924,,
0,5,0.6252,0.6361,0.9171,0.8219,0.8098,0.7912,0.9144,0.824,,
1,5,0.656,0.6361,0.8275,0.7405,0.8025,0.7694,0.835,0.7319,,
2,5,0.7105,0.6361,0.7395,0.616,0.7384,0.6648,0.7481,0.6235,,
3,5,0.481,0.6361,0.6594,0.5606,0.6485,0.5367,0.674,0.5776,,
4,5,0.2329,0.6361,0.6066,0.5098,0.5668,0.4106,0.6007,0.4989,,
0,6,0.6449,0.649,0.9328,0.8255,0.8272,0.7997,0.9308,0.8326,,
1,6,0.6806,0.649,0.8691,0.7496,0.8128,0.7775,0.8625,0.7546,,
2,6,0.7274,0.649,0.7547,0.6354,0.7497,0.6777,0.7661,0.6395,,
3,6,0.4995,0.649,0.6798,0.5767,0.6698,0.561,0.6808,0.5809,,
4,6,0.2333,0.649,0.6109,0.5165,0.572,0.4328,0.6153,0.5116,,
0,7,0.6628,0.6627,0.9477,0.8307,0.8401,0.8063,0.9482,0.8462,,
1,7,0.6974,0.6627,0.8592,0.7148,0.8296,0.7819,0.8736,0.7371,,
2,7,0.738,0.6627,0.7471,0.6571,0.7583,0.6837,0.7544,0.6294,,
3,7,0.5195,0.6627,0.6797,0.5529,0.6772,0.5734,0.6938,0.5605,,
4,7,0.25,0.6627,0.6165,0.5284,0.5827,0.4482,0.6204,0.5136,,
0,8,0.6576,0.6537,0.9564,0.8389,0.8426,0.8096,0.944,0.8359,,
1,8,0.6897,0.6537,0.888,0.7667,0.839,0.7898,0.8869,0.7457,,
2,8,0.7431,0.6537,0.7833,0.637,0.7713,0.6939,0.7827,0.6504,,
3,8,0.5422,0.6537,0.709,0.5849,0.684,0.568,0.7073,0.5837,,
4,8,0.2661,0.6537,0.62,0.5371,0.5941,0.4463,0.6197,0.5667,,
0,9,0.6917,0.6834,0.9642,0.842,0.858,0.8174,0.9546,0.8425,,
1,9,0.7273,0.6834,0.8932,0.7549,0.8505,0.7976,0.9001,0.7743,,
2,9,0.7632,0.6834,0.7969,0.6698,0.7811,0.7052,0.8045,0.6839,,
3,9,0.5282,0.6834,0.7053,0.5991,0.6894,0.582,0.7109,0.5869,,
4,9,0.2449,0.6834,0.6219,0.5281,0.591,0.4572,0.6381,0.5427,,
