Network,Entropy Value,Train Acc,Test Acc
Network 0,6.610919,0.678100,0.648400
Network 1,6.627933,0.637800,0.614100
Network 2,6.619432,0.500200,0.466600
Network 3,6.608398,0.468100,0.360100
Network 4,6.598570,0.472900,0.387100
Network 0,6.634334,0.645400,0.634000
Network 1,6.637892,0.581700,0.492500
Network 2,6.631081,0.550200,0.426700
Network 3,6.631342,0.517200,0.364800
Network 4,6.626101,0.456200,0.310000
Network 0,6.663237,0.747200,0.701300
Network 1,6.653304,0.672200,0.607700
Network 2,6.644547,0.602800,0.501900
Network 3,6.636479,0.554400,0.428900
Network 4,6.631391,0.513600,0.391300
Network 0,6.665559,0.774300,0.731300
Network 1,6.666783,0.717800,0.619800
Network 2,6.657001,0.628300,0.534700
Network 3,6.656118,0.573000,0.468100
Network 4,6.650931,0.527400,0.413800
Network 0,6.694400,0.811300,0.749900
Network 1,6.682351,0.737600,0.664800
Network 2,6.671078,0.660700,0.550200
Network 3,6.663199,0.590900,0.508600
Network 4,6.661745,0.549500,0.433600
Network 0,6.691469,0.818000,0.764300
Network 1,6.690562,0.756100,0.645100
Network 2,6.683227,0.667300,0.582300
Network 3,6.680103,0.602400,0.467700
Network 4,6.674485,0.569700,0.435600
Network 0,6.713536,0.809700,0.742800
Network 1,6.708095,0.775000,0.674100
Network 2,6.694400,0.688900,0.570800
Network 3,6.684375,0.618900,0.530400
Network 4,6.680055,0.575900,0.479500
Network 0,6.712406,0.865700,0.799100
Network 1,6.708024,0.782000,0.693800
Network 2,6.701694,0.711800,0.603700
Network 3,6.696700,0.631500,0.539700
Network 4,6.693430,0.582500,0.451500
Network 0,6.731142,0.890700,0.797600
Network 1,6.722873,0.826400,0.727400
Network 2,6.708200,0.713600,0.616700
Network 3,6.703310,0.656000,0.542400
Network 4,6.692441,0.584900,0.478000
Network 0,6.731045,0.858200,0.786300
Network 1,6.726183,0.799100,0.707600
Network 2,6.716955,0.726900,0.634600
Network 3,6.709973,0.642300,0.536900
Network 4,6.709300,0.596600,0.495600
Network 0,6.744286,0.923400,0.816500
Network 1,6.733667,0.829300,0.748500
Network 2,6.724807,0.723600,0.595700
Network 3,6.715336,0.667200,0.560000
Network 4,6.708613,0.604500,0.464700
Network 0,6.742549,0.907500,0.822600
Network 1,6.737214,0.841300,0.739100
Network 2,6.732974,0.742100,0.615400
Network 3,6.724465,0.673500,0.562400
Network 4,6.724158,0.605400,0.475400
Network 0,6.753159,0.932600,0.814800
Network 1,6.744865,0.854000,0.726500
Network 2,6.735020,0.744700,0.639700
Network 3,6.725439,0.677000,0.558800
Network 4,6.720989,0.592200,0.487200
Network 0,6.752489,0.918800,0.824700
Network 1,6.749540,0.859900,0.745900
Network 2,6.739673,0.758700,0.661400
Network 3,6.735998,0.679800,0.567000
Network 4,6.731697,0.610200,0.535000
Network 0,6.759984,0.951000,0.836300
Network 1,6.754903,0.869900,0.736200
Network 2,6.744800,0.751900,0.651300
Network 3,6.738010,0.679600,0.563100
Network 4,6.731634,0.607200,0.472600
Network 0,6.758219,0.936900,0.834800
Network 1,6.758432,0.870300,0.747600
Network 2,6.750707,0.769800,0.655700
Network 3,6.743890,0.679300,0.592000
Network 4,6.741767,0.616600,0.503600
Network 0,6.767953,0.907000,0.806600
Network 1,6.761868,0.864800,0.741400
Network 2,6.752148,0.761800,0.666300
Network 3,6.746756,0.692600,0.556200
Network 4,6.737373,0.626700,0.540700
Network 0,6.769475,0.948900,0.837500
Network 1,6.766141,0.881900,0.756300
Network 2,6.759898,0.782600,0.649800
Network 3,6.752961,0.706300,0.559300
Network 4,6.745721,0.625000,0.513600
Network 0,6.776621,0.975600,0.841400
Network 1,6.768348,0.884100,0.759500
Network 2,6.760873,0.791100,0.663800
Network 3,6.754486,0.701500,0.582400
Network 4,6.750419,0.622000,0.512600
Network 0,6.776275,0.966600,0.846400
Network 1,6.771446,0.879300,0.760000
Network 2,6.766018,0.787700,0.673400
Network 3,6.759357,0.707800,0.571900
Network 4,6.757106,0.632800,0.540000
